oodham,english,partOfSpeech,pattern,pronunciation,reduplicated,redup_pronunciation,redup_meaning,dialect,dialect_id,examples,sing_audio,pl_audio,image,example_audio,
mi:ṣ,table,noun,3,[miːʂ],mimṣ,[ˈmimʂ],tables,Any,,’An g da:ṣ g ko:ba mi:ṣ da:m.::Set the cup on the table.||M o si ha-dadagkoa g mimṣ.::Wipe the tables down.,audio/table.mp3,audio/tables.mp3,,audio/examples/setthecuponthetable.mp3||audio/examples/wipthetablesdown.mp3,
mi:sa,table,noun,3,[ˈmiː.sɑ],mimsa,[ˈmim.sɑ],tables,Any,,Napt dagĭto g ’e-lialga ’an mi:sa da:m?::Did you leave your money on the table?,audio/tablemisa.mp3,audio/tablesmisa.mp3,,audio/examples/didyouleaveyourmoneyonthetable.mp3,
ha’a,pot,noun,2,[ˈhɑ.ʔɑ],haha’a,[ˈhɑ.hɑ.ʔɑ],pots,Any,,’Ant o hekaj ’i:da ha’a mant o na:to g mu:ñ.::I’m going to use this pot to make beans.,audio/pot.mp3,audio/pots.mp3,,audio/examples/imgoingtousethispottomakebeans.mp3,
dagkoanakuḍ,towel; napkin,noun,2,[ˈd̪ɑg̥.kɔɑ.nɑ.kuɖ̥],dadagkoanakuḍ,[ˈd̪ɑ.d̪ɑg̥.kɔɑ.nɑ.kuɖ̥],towels; napkins,Any,,Kiap s-vapḍag g dadagkoanakuḍ.::The towels are still wet.,audio/towel.mp3,audio/towels.mp3,,audio/examples/thetowelsarestillwet.mp3,
tovaṣ,handkerchief,noun,1,[ˈtɔ.vɑʂ],totvaṣ,[ˈtɔt.vɑʂ],handkerchiefs,Any,,Dagkoan g ’ali wuhioṣa g ’e-tovaṣkaj.::Wipe the baby’s face with your handkerchief.,audio/handkerchief.mp3,audio/handkerchief.mp3,,audio/examples/wipethebabysfacewithyourhandkerchief.mp3,
monjel,headscarf,noun,2,[ˈmɔn.ɟɯɽ̥],momonjel,[ˈmɔ.mɔn.ɟɯɽ̥],headscarves,Any,,S-ke:gaj g monjelij.::Her headscarf is pretty.,audio/headscarf.mp3,audio/headscarfs.mp3,,audio/examples/herheadscarfispretty.mp3,
bayuka,necklace,noun,1,[ˈbɑ.ju.kɑ],babyuka,[ˈbɑb.ju.kɑ],necklaces,Any,,Ñ-bayuka ’o ḍ ’o:la.::My necklace is gold.,audio/necklace.mp3,audio/necklaces.mp3,,audio/examples/mynecklaceisgold.mp3,
maskal,neckerchief,noun,1,[ˈmɑs.kɑɽ̥],mamskal,[ˈmɑms.kɑɽ̥],neckerchiefs,Any,,S-vegĭ maskal g vakial.::The cowboy has a red neckerchief.,audio/neckerchief.mp3,audio/neckerchiefs.mp3,,taudio/examples/thecowboyhasaredneckerchief.mp3,
hu’u,star,noun,2,[ˈhu.ʔu],huhu’u,[ˈhu.hu.ʔu],stars,Any,,Si tonoḍ g huhu’u.::The stars are really shining.,audio/star.mp3,audio/stars.mp3,,audio/examples/thestarsarereallyshining.mp3,
do’ag,mountain,noun,7,[d̪ɔ̰ɑg̥],do:do’ag,[ˈd̪ɔː.dɑ.ʔɑg̥],mountains,Any,,Heg o gḍ hu ki: do’ag da:m.::He lives on top of the mountain.,audio/mountain.mp3,audio/mountains.mp3,,audio/examples/helivesontopofthemountain.mp3,
